Taxonomy,Control_327,Control_328,Control_330,DSS_334,DSS_339,DSS_treatedp,D_Control,D_DSS,D_RCE,D_RCE_plus_DSS,RCE_318,RCE_319,RCE_322,RCE_plus_DSS_301,RCE_plus_DSS_305,RCE_plus_DSS_313,Start
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Flintibacter|s__Flintibacter sp. KGMB00164,17484,7379,10350,3700,4401,5674,8877,5865,6911,15175,4180,10547,4385,30793,31361,12613,7260
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Massilistercora|s__Massilistercora timonensis,16277,4443,8496,2845,1545,2681,4194,2868,3141,8026,3485,5715,3040,11465,13163,7317,3870
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Intestinimonas|s__Intestinimonas butyriciproducens,14599,5576,8546,2617,2871,3842,7460,4296,6081,12323,3353,8324,3424,17334,17876,9902,5903
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiales Family XIII. Incertae Sedis|g__Aminipila,3661,1318,2556,1527,1311,1364,1652,1926,1394,2613,1134,2056,1075,3269,3611,2304,1474
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|g__Monoglobus|s__Monoglobus pectinilyticus,1405,424,861,502,503,426,440,713,395,771,383,653,324,1086,981,862,457
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Clostridioides,15047,5560,11334,3889,4943,4072,5374,5630,3743,8975,5044,7198,4520,11379,10982,9828,5625
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Romboutsia,3888,5023,1831,10652,4095,16978,1383,19823,5650,29757,6456,3604,5722,9183,8120,4926,3689
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Peptacetobacter,686,501,1110,707,271,502,466,689,390,650,506,688,236,932,770,545,519
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium,13371,4288,7577,2831,2080,2671,3830,3246,3268,6272,2999,5578,2867,7901,10581,5582,3966
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Acetobacterium,1878,552,1022,588,340,571,509,777,509,680,379,596,396,816,988,621,539
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfitobacterium,2444,966,1461,732,607,793,864,1174,868,1391,781,1228,740,1818,1858,1196,961
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfosporosinus,1867,662,998,629,462,534,592,661,501,1066,504,764,456,1248,1354,914,686
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Dehalobacter,1292,369,829,263,206,448,488,429,381,647,297,672,242,1092,1160,799,426
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptococcaceae|g__Desulfotomaculum,1249,574,885,573,422,506,748,818,591,1088,754,930,446,1253,1517,974,908
d__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenella,4639,1659,2215,1360,1136,1193,1493,1762,1476,2798,1319,2617,1392,3932,4374,2780,1704
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Caldicellulosiruptor,2364,1253,2129,1092,766,1036,1261,1186,750,1409,904,1221,563,1691,1258,1442,1214
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacterales Family III. Incertae Sedis|g__Thermoanaerobacterium,2035,841,1653,972,595,888,784,1094,692,1181,655,1020,419,1492,1223,1060,900
d__Bacteria|p__Firmicutes|c__Clostridia|o__Thermoanaerobacterales|f__Thermoanaerobacteraceae|g__Thermoanaerobacter,1090,458,820,682,387,679,438,797,481,761,396,597,301,803,739,642,537
